Date,Total_Volume
2024-01-02,82488700
2024-01-03,58414500
2024-01-04,71983600
2024-01-05,62303300
2024-01-08,59144500
2024-01-09,42841800
2024-01-10,46792900
2024-01-11,49128400
2024-01-12,40444700
2024-01-16,65603000
2024-01-17,47317400
2024-01-18,78005800
2024-01-19,68741000
2024-01-22,60133900
2024-01-23,42355600
2024-01-24,53631300
2024-01-25,54822100
2024-01-26,44594000
2024-01-29,47145600
2024-01-30,55859400
2024-01-31,55467800
2024-02-01,64885400
2024-02-02,102518000
2024-02-05,69668800
2024-02-06,43490800
2024-02-07,53439000
2024-02-08,40962000
2024-02-09,45155200
2024-02-12,41781900
2024-02-13,56529500
2024-02-14,54630500
2024-02-15,65434500
2024-02-16,49701400
2024-02-20,53665600
2024-02-21,41529700
2024-02-22,52292200
2024-02-23,45119700
2024-02-26,40867400
2024-02-27,54318900
2024-02-28,48953900
2024-02-29,136682600
2024-03-01,73488000
2024-03-04,81510100
2024-03-05,95132400
2024-03-06,68587700
2024-03-07,71765100
2024-03-08,76114600
2024-03-11,60139500
2024-03-12,59825400
2024-03-13,52488700
2024-03-14,72913500
2024-03-15,121664700
2024-03-18,75604200
2024-03-19,55215200
2024-03-20,53423100
2024-03-21,106181300
2024-03-22,71106600
2024-03-25,54288300
2024-03-26,57388400
2024-03-27,60273300
2024-03-28,65672700
2024-04-01,46240500
2024-04-02,49329500
2024-04-03,47691700
2024-04-04,53704400
2024-04-05,42055200
2024-04-08,37425500
2024-04-09,42451200
2024-04-10,49709300
2024-04-11,91070300
2024-04-12,101593300
2024-04-15,73531800
2024-04-16,73711200
2024-04-17,50901200
2024-04-18,43122900
2024-04-19,67772100
2024-04-22,48116400
2024-04-23,49537800
2024-04-24,48251800
2024-04-25,50558300
2024-04-26,44838400
2024-04-29,68169400
2024-04-30,65934800
2024-05-01,50383100
2024-05-02,94214900
2024-05-03,163224100
2024-05-06,78569700
2024-05-07,77305800
2024-05-08,45057100
2024-05-09,48983000
2024-05-10,50759500
2024-05-13,72044800
2024-05-14,52393600
2024-05-15,70400000
2024-05-16,52845200
2024-05-17,41282900
2024-05-20,44361300
2024-05-21,42309400
2024-05-22,34648500
2024-05-23,51005900
2024-05-24,36294600
2024-05-28,52280100
2024-05-29,53068000
2024-05-30,49947900
2024-05-31,75158300
2024-06-03,50080500
2024-06-04,47471400
2024-06-05,54156800
2024-06-06,41181800
2024-06-07,53103900
2024-06-10,97262100
2024-06-11,172373300
2024-06-12,198134300
2024-06-13,97862700
2024-06-14,70122700
2024-06-17,93728300
2024-06-18,79943300
2024-06-20,86172500
2024-06-21,246421400
2024-06-24,80727000
2024-06-25,56713900
2024-06-26,66213200
2024-06-27,49772700
2024-06-28,82542700
2024-07-01,60402900
2024-07-02,58046200
2024-07-03,37369800
2024-07-05,60412400
2024-07-08,59085900
2024-07-09,48076100
2024-07-10,62627700
2024-07-11,64710600
2024-07-12,53046500
2024-07-15,62631300
2024-07-16,43234300
2024-07-17,57345900
2024-07-18,66034600
2024-07-19,49151500
2024-07-22,48201800
2024-07-23,39960300
2024-07-24,61777600
2024-07-25,51391200
2024-07-26,41601300
2024-07-29,36311800
2024-07-30,41643800
2024-07-31,50036300
2024-08-01,62501000
2024-08-02,105568600
2024-08-05,119548600
2024-08-06,69660500
2024-08-07,63516400
2024-08-08,47161100
2024-08-09,42201600
2024-08-12,38028100
2024-08-13,44155300
2024-08-14,41960600
2024-08-15,46414000
2024-08-16,44340200
2024-08-19,40687800
2024-08-20,30299000
2024-08-21,34765500
2024-08-22,43695300
2024-08-23,38677300
2024-08-26,30602200
2024-08-27,35934600
2024-08-28,38052200
2024-08-29,51906300
2024-08-30,52990800
2024-09-03,50190600
2024-09-04,43840200
2024-09-05,36615400
2024-09-06,48423000
2024-09-09,67180000
2024-09-10,51591000
2024-09-11,44587100
2024-09-12,37498200
2024-09-13,36766600
2024-09-16,59357400
2024-09-17,45519300
2024-09-18,59894900
2024-09-19,66781300
2024-09-20,318679900
2024-09-23,54146000
2024-09-24,43556100
2024-09-25,42308700
2024-09-26,36636700
2024-09-27,34026000
2024-09-30,54541900
2024-10-01,63285000
2024-10-02,32880600
2024-10-03,34044200
2024-10-04,37245100
2024-10-07,39505400
2024-10-08,31855700
2024-10-09,33591100
2024-10-10,28183500
2024-10-11,31759200
2024-10-14,39882100
2024-10-15,64751400
2024-10-16,34082200
2024-10-17,32993800
2024-10-18,46431500
2024-10-21,36254500
2024-10-22,38846600
2024-10-23,52287000
2024-10-24,31109500
2024-10-25,38802300
2024-10-28,36087100
2024-10-29,35417200
2024-10-30,47070900
2024-10-31,64370100
2024-11-01,65276700
2024-11-04,44944500
2024-11-05,28111300
2024-11-06,54561100
2024-11-07,42137700
2024-11-08,38328800
2024-11-11,42005600
2024-11-12,40398300
2024-11-13,48566200
2024-11-14,44923900
2024-11-15,47832200
2024-11-18,7668103
